GSLIS2.exe: 0000078C: 10:07:26 []:>--------------------------------------------------------------<
GSLIS2.exe: 0000078C: 10:07:26 [TUniServerModule]:Server First Init.
GSLIS2.exe: 0000078C: 10:07:26 [TUniServerModule]:Debug Mode = ON
GSLIS2.exe: 0000078C: 10:07:26 [TUniServerModule]:Global Cache Folder Erased. <14> Files deleted.
GSLIS2.exe: 0000078C: 10:07:26 [TUniServerModule]:Starting HTTP Server on Port: 80...
GSLIS2.exe: 0000078C: 10:07:26 [TUniServerModule]:HTTP Server Started on Port: 80
GSLIS2.exe: 0000192C: 10:07:54 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000125C: 10:08:23 [127.0.0.1]:EConvertError : '' is not a valid integer value : Addr: $00426B56
GSLIS2.exe: 0000125C: 10:10:23 [127.0.0.1]:EConvertError : '' is not a valid integer value : Addr: $00426B56
GSLIS2.exe: 0000125C: 10:11:07 [127.0.0.1]:EConvertError : '' is not a valid integer value : Addr: $00426B56
GSLIS2.exe: 0000125C: 10:13:21 [127.0.0.1]:EConvertError : '' is not a valid integer value : Addr: $00426B56
GSLIS2.exe: 00002304: 10:18:10 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000106C: 10:18:10 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002050: 10:18:12 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000744: 10:28:16 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000C54: 10:38:05 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002734: 10:48:24 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00001AF8: 10:58:32 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00001AE0: 11:08:47 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000171C: 11:18:50 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000026BC: 11:19:35 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000252C: 11:19:35 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002528: 11:28:58 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000231C: 11:39:02 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00001CCC: 11:49:07 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000267C: 11:49:27 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000CF0: 11:49:27 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000018B8: 11:59:09 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000414: 12:08:16 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002618: 12:08:16 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00002584: 12:09:29 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000770: 12:14:14 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000001BC: 12:14:14 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00000624: 12:14:14 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 00001F74: 12:14:14 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000025FC: 12:14:14 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 000007EC: 12:14:14 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
GSLIS2.exe: 0000267C: 12:14:32 [HandleFileRequest[127.0.0.1]]:Access denied: D:\Dev\GSLIS2\Win32\Debug\wpad.dat.
